Компания,Сайт,Email,Статус почты,Имя ЛПР,Должность,Источник имени,ИНН,Сигнал (вакансия),Ссылка на вакансию,Страница на hh,Заголовок сайта,Примечание
ООО Стальные Решения,https://tulampz.ru/,info@tigk.ru,risky,,,,,Ведущий менеджер по продажам (металлопрокат),https://saratov.hh.ru/vacancy/135356038,https://hh.ru/employer/5044840,Официальный сайт Тульского металлопрокатного завода,адрес не на домене сайта; в реестре 17 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО АБТ-ГРУПП,https://abt-group.su/,info@abt-group.su,risky,,,,,Менеджер по продажам металлопроката (металлоконструкций),https://saratov.hh.ru/vacancy/135500384,https://hh.ru/employer/839442,"Главная - ООО «АБТ-ГРУПП» - металлопрокат, металлоконструкции, металлообработка",в реестре 9 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ВК Металлоснаб,https://vkmet.ru/,order@vkmet.ru,risky,,,,,Менеджер по продажам металлопроката (B2B/B2G),https://saratov.hh.ru/vacancy/134690020,https://hh.ru/employer/3428744,ВК Металлоснаб - Ваш надежный партнер по металлопрокату в России,в реестре 17 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Трубные Технологии,https://www.tk-rapid.ru/,info@tk-rapid.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135559443,https://hh.ru/employer/12807726,Трубы стальные. ТК-Рапид — продажа труб металлических в России и СНГ.,в реестре 10 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ЧПУ Технологии,https://cnctechnology.ru/,info@cnctechnology.ru,risky,,,,,Менеджер по продажам оборудования - станки с ЧПУ,https://saratov.hh.ru/vacancy/134955785,https://hh.ru/employer/3657000,ЧПУ Технологии. Станки и инструмент для ЧПУ: производство и поставка,адрес не на домене сайта; в реестре 2 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Рекламное Агентство Граффити-Медиа,https://grafmedia.ru/,info@grafmedia.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/134878273,https://hh.ru/employer/12831676,ГРАФФИТИ·МЕДИА маркетинг для металлопроката и B2B -,в реестре 5 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО НПФ Кавиант,https://kaviant.ru/,info@kaviant.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135125998,https://hh.ru/employer/2463566,Производитель СОЖ и смазочных материалов в России и Екатеринбурге - НПФ Кавиант,ролевой адрес — читает не ЛПР
ООО НТ-Холдинг,https://nt-tools.ru/,office@nt-tools.ru,risky,,,,,Специалист отдела продаж,https://saratov.hh.ru/vacancy/135077019,https://hh.ru/employer/709203,Ремонт промышленного оборудования | ГК «НТ-ХОЛДИНГ»,в реестре 6 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Гефест,https://gefest-engineering.ru/,sales@gefest-engineering.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135045073,https://hh.ru/employer/9476122,Подбор и поставка специализированного металлообрабатывающего оборудования и изготовление деталей по чертежам,в реестре 13 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
Сайн сервис,https://sign-service.ru/,info@sign-service.ru,risky,,,,,Менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/134927455,https://hh.ru/employer/1179087,"Поставки оборудования для производства рекламы: широкоформатные принтеры, лазерные граверы, фрезерное оборудование и расходные элементы. | Сайн Сервис",в реестре 7 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ЭлитПромРесурс,https://elitpromresurs.ru/,elitpromresurs@gmail.com,risky,,,,,Менеджер по оптовым продажам смазочных материалов,https://saratov.hh.ru/vacancy/134769253,https://hh.ru/employer/12884559,"ООО ""ЭлитПромРесурс""","адрес не на домене сайта; в реестре 4 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен"
HuntX,https://huntx.ru/,info.huntx@gmail.com,risky,,,,,Менеджер по продажам (станки и оборудование),https://saratov.hh.ru/vacancy/135548053,https://hh.ru/employer/9444660,HR-агентство | HuntX,"адрес не на домене сайта; бесплатный почтовый ящик, не корпоративный домен; ролевой адрес — читает не ЛПР"
ООО Солярис,https://solt74.ru/,zakaz@solt74.ru,risky,,,,,Менеджер по продажам (инструмент и станки) с перспективой руководителя,https://saratov.hh.ru/vacancy/134917589,https://hh.ru/employer/2655656,Солярис - Интернет магазин промышленного инструмента,в реестре 18 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
Светсервис,https://svetservis.ru/,mail@svetservis.ru,risky,,,,,Торговый представитель,https://saratov.hh.ru/vacancy/135525172,https://hh.ru/employer/561383,Светсервис – интернет-магазин электрики | Делаем мир светлее!,в реестре 18 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО М-Инструмент,https://m-inst.ru/,sales@m-inst.ru,risky,,,,,Менеджер по продажам металлорежущего инструмента,https://saratov.hh.ru/vacancy/135500536,https://hh.ru/employer/6108051,Металлорежущий инструмент от производителя – поставки за 3 дня | М-Инструмент,в реестре 4 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ПРОМОЙЛ,https://promoil.com/,office@promoil.com,risky,,,,,Специалист по продажам,https://saratov.hh.ru/vacancy/133891303,https://hh.ru/employer/165119,"Промойл — металлообрабатывающее оборудование: станки с ЧПУ, запчасти, инструмент и оснастка с доставкой по России и СНГ",в реестре 20 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Ковачъ,https://ковачъ.рф/,info@kovach.pro,risky,,,,,Менеджер по продажам (инструмент для листовой обработки металла),https://saratov.hh.ru/vacancy/134893057,https://hh.ru/employer/3875624,Ковачъ - инструмент и оборудование для обработки металла.,адрес не на домене сайта; в реестре 3 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
Комтелэнерго,https://install-ltd.ru/,sales.msk@install-ltd.com,risky,,,,,SMM-менеджер,https://saratov.hh.ru/vacancy/134745891,https://hh.ru/employer/703705,"Инсталл – арматура СИП, узлы крепления, проколы, зажимы, оптический кабель",адрес не на домене сайта; в реестре 9 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО АРТДЕНТ,https://www.admdental.ru/,info@admdental.ru,risky,,,,,Менеджер по продажам фрезерных станков для стоматологической ортопедии (выездной),https://saratov.hh.ru/vacancy/134791678,https://hh.ru/employer/2886186,CAD/CAM системы и расходные материалы для стоматологии купить в интернет-магазине ADM Dental,в реестре 19 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
LIDER-3D,https://lider-3d.ru/,info@lider-3d.ru,risky,,,,,Руководитель отдела продаж (аддитивные технологии),https://saratov.hh.ru/vacancy/134766552,https://hh.ru/employer/4843279,"LIDER-3D: 3D принтеры, сканеры, расходные материалы, услуги 3Д печати",ролевой адрес — читает не ЛПР
cutterShop.,https://cutter-shop.ru/,zakaz@cutter-shop.ru,risky,,,,,Менеджер по активным B2B-продажам инструмента для ЧПУ,https://saratov.hh.ru/vacancy/135516803,https://hh.ru/employer/11157916,Фрезы и граверы для ЧПУ станков | интернет-магазин фрез для ЧПУ cutterShop,ролевой адрес — читает не ЛПР
VOS-Мебель,https://vosmebel.ru/,info@vos-mebel.ru,risky,,,,,Лид-менеджер (удаленно),https://saratov.hh.ru/vacancy/135334189,https://hh.ru/employer/4808567,Производство мебели | Главна страница VOS-MEBEL | Качественно и не дорого,адрес не на домене сайта; ролевой адрес — читает не ЛПР
ООО Транссвязь,https://www.midland-rus.ru/,info@midland-rus.ru,risky,,,,,Менеджер в отдел продаж удаленно,https://saratov.hh.ru/vacancy/135459504,https://hh.ru/employer/3037002,"Рации и радиостанции: купить в Москве в интернет-магазине; большой выбор моделей, низкие цены",в реестре 20 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Рось,https://mebel-ros.ru/,info@mebel-ros.ru,risky,,,,,Дизайнер-консультант/Менеджер по продажам,https://saratov.hh.ru/vacancy/135435079,https://hh.ru/employer/2586433,Кухни от фабрики Рось,в реестре 20 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
TECHNO GROUP,https://stanki.techno-tg.ru/,info@techno-tg.ru,risky,,,,,Менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/131093951,https://hh.ru/employer/3398056,Станки для мебельного производства со скидкой до 30%,ролевой адрес — читает не ЛПР
ООО РАЗМЕР,https://razmergroup.ru/,info@razmergroup.ru,risky,,,,,"Менеджер по продажам станков с ЧПУ (B2B, промышленное оборудование)",https://saratov.hh.ru/vacancy/135354695,https://hh.ru/employer/3953637,Разумные Механические Решения - высокотехнологическое оборудование и эффективные производственные системы,в реестре 13 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО А Сталь,https://asteel.pro/,info@asteel.pro,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/132228228,https://hh.ru/employer/1002163,Главная - А Сталь,в реестре 13 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО Эммарк,https://solidcamrus.ru/,solidcam@inbox.ru,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135172527,https://hh.ru/employer/11923571,"Официальный дилер SOLIDCAM - Компания ЭММАРК,  г. Челябинск","адрес не на домене сайта; в реестре 4 похожих компаний — имя не подставляю; бесплатный почтовый ящик, не корпоративный домен"
ООО Специнструмент-НН,https://reezo.ru/,info@reezo.ru,risky,,,,,Менеджер по продажам (сопровождение продаж b2b),https://saratov.hh.ru/vacancy/135476729,https://hh.ru/employer/6036136,Металлорежущий инструмент из твердых марок стали | REEZO TOOLS,в реестре 20 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
PROLab,https://prolab.team/,info@prolab.team,risky,,,,,Менеджер по продажам,https://saratov.hh.ru/vacancy/135160059,https://hh.ru/employer/10542051,PROLab - Зуботехнический центр,ролевой адрес — читает не ЛПР
ООО Тепловые Системы,https://tepsys.ru/,info@tepsys.ru,risky,,,,,Менеджер по работе с клиентами,https://saratov.hh.ru/vacancy/135313927,https://hh.ru/employer/2895575,Тепловые Системы,в реестре 13 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
ООО ПК Анеко,https://aneko.ru/,sales@aneko.ru,risky,,,,,Специалист коммерческого отдела / менеджер по продажам,https://saratov.hh.ru/vacancy/135297912,https://hh.ru/employer/1224534,"Производство устьевого оборудования для нефтегазовой отрасли - ПК ""АНЕКО""",ролевой адрес — читает не ЛПР
ООО СНД,https://vsestanki.tech/,info@cnd-all.ru,risky,,,,,Менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/135425601,https://hh.ru/employer/12276860,Инжиниринг и продажа станков и оборудования для металлообработки в СПб,адрес не на домене сайта; в реестре 12 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
SAVINSNAME,https://savinsname.ru/,help@savinsname.ru,risky,,,,,Менеджер по продажам оборудования,https://saratov.hh.ru/vacancy/133918254,https://hh.ru/employer/3777740,"Производитель фрезерных, лазерных и плазменных станков с ЧПУ - SAVINSNAME",ролевой адрес — читает не ЛПР
DiAR-Engineering (ООО Медикал-Сервис),https://diar-engineering.ru/,sales@diar-engineering.ru,risky,,,,,Менеджер по продажам промышленного оборудования,https://saratov.hh.ru/vacancy/130739089,https://hh.ru/employer/5777054,Оборудование для пищевой промышленности и маркировки | Diar-engineering,ролевой адрес — читает не ЛПР
ВИЛЛМЕД,https://willmed.ru/,zakaz@willmed.ru,risky,,,,,Менеджер по закупкам и снабжению (ВЭД),https://saratov.hh.ru/vacancy/135416545,https://hh.ru/employer/10915575,WILLMED,в реестре 3 похожих компаний — имя не подставляю; ролевой адрес — читает не ЛПР
